<DOC1>	至于耗油量较高，是和车的总体质量有关系的。</DOC1>
<DOC635>	可以说，我们小车班的司机，都非常欣赏他。</DOC635>
<DOC636>	你讲的有道理，派朗空间稍逊与福美来，但已足够用了，在8万元以内的车中够宽敞的了。</DOC636>
<DOC637>	307的2.0驾御板发动机是5V，而新宝来1.6板发动机是2V，从发动机来看宝来的技术至少不比307先进。</DOC637>
<DOC638>	在这里鄙视一下当下ZF，他们那么有钱有权还给优惠，为什么不给我们这些平头百姓点实惠。</DOC638>
<DOC639>	难道消费者都不会用大脑思考吗？</DOC639>
<DOC640>	看了汽车杂志说，去年仅广本雅阁就卖了10万辆，PASSAT好象是8万吧，M6是3万多量。</DOC640>
<DOC641>	我想说，我家的这个小三体味有点重！</DOC641>
<DOC642>	4W公里开始在汽修厂做保养了，机油换回了嘉实多0W40，感觉比SSSS用的壳牌0W30舒服多了――静音、给力，还是原配的好。</DOC642>
<DOC643>	今天售后做回访、因没上牌、还没正式上路感受、过几天上好牌、多上路、再交正式作业。</DOC643>
<DOC644>	具体内容:1.免费48项检测.</DOC644>
<DOC645>	雷克萨斯GL到是可以和宝马秕美，虽然是前驱，可是进口车嘛！</DOC645>
<DOC646>	我想是因为你开着半掉子的福克斯底盘的S40（很多人是买了后才知道，还有人到现在也不知道）。</DOC646>
<DOC647>	买车后要做隔音处理。</DOC647>
<DOC648>	这个价格可以选奥迪A4L，等新3或者C200.相信4S会有更大的促销力度才能卖掉。</DOC648>
<DOC649>	座位也高，不圈腿，象坐在办公室，视线也好。</DOC649>
<DOC650>	没错，可惜A43.0Quattro性价比太低，按现在的价格出手很不划算，再等一等。</DOC650>
<DOC651>	3系的棕内和展厅5系GT的棕颜色不一样</DOC651>
<DOC652>	频频出现小问题。。。</DOC652>
<DOC653>	能否找到更令我满意的内饰色凋?</DOC653>
<DOC654>	这个很重要，涉及到在行驶过程中的安全问题。</DOC654>
<DOC655>	用了52天，就换了收音机的保险丝。</DOC655>
<DOC656>	犹如遇到了多年旧友般，终于谋面了。</DOC656>
<DOC657>	钢板感觉比骊威厚实多了，刚好有亲戚的骊威给我比较一下，所以就拿它说事了。</DOC657>
<DOC658>	作为经济型车更是如此，它总是给人以特“值”的感觉，也就是很多年维持的高“性价比”状态。</DOC658>
<DOC659>	要是这样，打死也不敢买这破车啊！！！！！</DOC659>
<DOC660>	新马6下线了，上市了，效果怎样？</DOC660>
<DOC661>	另问，新宝加９３号不知道会不会胃疼，呵呵。</DOC661>
<DOC662>	那火花塞很贵，一个要158元。</DOC662>
<DOC663>	能不能给消费者一个“新感觉”。</DOC663>
<DOC664>	这是关爱一汽捷达的人们的忠告！</DOC664>
<DOC665>	四驱AUDI.3.0A4大贸原价78万。</DOC665>
<DOC666>	自己的三三自己清楚，我且也呱噪几句，让各位也了解了解俺的三三：1、音响提车第三天就去换了。</DOC666>
<DOC667>	据我了解雷诺集团是法国国有企业！</DOC667>
<DOC668>	人家国际知名品牌难道就不可以吗？</DOC668>
<DOC669>	我想去4s吧，但是后来就没异响了。</DOC669>
<DOC670>	这点从消费者对主流厂家整体降价后的冷淡反应上就可以看得很清楚——市场提前消化了降价效果。</DOC670>
<DOC671>	请问两款发动机的区别</DOC671>
<DOC672>	再加上偏硬的悬挂，应该不会挂地盘。</DOC672>
<DOC673>	如果速度到170KM/HOUR，那油表下的飞快（自动档），100公里能下去一半。</DOC673>
<DOC674>	如果晚上行车相向行驶时不互闭远光灯，对双方驾驶员造成的强光刺激就更容易引发交通事故。</DOC674>
<DOC675>	再者，北京预计今年晚些时候可能就实行欧三标准了，并且有可能在2008年前实施欧四标准。</DOC675>
<DOC676>	希望汽车之子能给一汽反映一下。</DOC676>
<DOC677>	太多太多:比如最高时速120...</DOC677>
<DOC678>	难道用三菱技术的4G18发动机？</DOC678>
<DOC679>	捷达是，最近大家都喜欢的一款车。</DOC679>
<DOC680>	有些轮胎还注有速度极限符号，分别用P、R、S、T、H、V、Z等字母代表各速度极限值。</DOC680>
<DOC681>	这几天见到吉利谈论很少，可有朋友给吉利取了个好名字，叫什么“穷人乐”这个名字取的有学文。</DOC681>
<DOC682>	在公车改革正在艰难前行的时候，有关部门应当严格管理，坚决不能让国家财政供养的公车走向奢华。</DOC682>
<DOC683>	最近一次特殊机会，陪朋友去选车，有幸参加了试驾，A4L，xjw2.0T，锐志，思博锐。</DOC683>
<DOC684>	我给美日定个价：35000元。</DOC684>
<DOC685>	我看帕萨特和红旗世纪星（都是基本型）外型（车身）：帕萨特，新潮，流线型好，似奥迪V6。</DOC685>
<DOC686>	与其他车型4缸发动机相比，V型6缸发动机最大的优点就是动力性好。</DOC686>
<DOC687>	佳星以经上市了，和使者价钱一样。</DOC687>
<DOC688>	就是安全性没有捷达的好，总体质量比捷达稍微训了点。</DOC688>
<DOC689>	哪里有排气管配件卖？</DOC689>
<DOC690>	理由1:V6机器排列合理,工作时颤动小.</DOC690>
<DOC691>	一上高速，我就慢慢地加速，不知不觉车速就上了120KM，先稳定在120KM一段时间。</DOC691>
<DOC692>	所以我会陆续的报道开优力偶的心得!</DOC692>
<DOC693>	你的市场分额少了啊？</DOC693>
<DOC694>	最主要的是4S店的做法让人寒心。</DOC694>
<DOC695>	以后驾驶的感受再同朋友们交流。</DOC695>
<DOC696>	可是凌志在几次的碰撞实验中均为最差！</DOC696>
<DOC697>	其它没找出什么毛病,10W的车,不错了.</DOC697>
<DOC698>	要想延长捷达的生命力，可在外形上下点功夫。</DOC698>
<DOC699>	死撑是拼命的，---自己看吧。</DOC699>
<DOC700>	究竟买哪种车，还要根据自己的具体情况权衡。</DOC700>
<DOC701>	具体体现为服务差异化、形象差异化、人员差异化、推进营销创新；进行营销价值链的延伸与扩展。</DOC701>
<DOC702>	说这车不好的人~~你们开过吗？</DOC702>
<DOC703>	福美来在新三样中人气是最旺的,现在销售情况不错,主要原因是车的性能说的过去,价位定的合适.</DOC703>
<DOC704>	我说这些已经买了起亚的当然不愿意听了,抱歉!</DOC704>
<DOC705>	我当时开的深海蓝标致3082.0L，这个颜色算是我个人比较喜欢的颜色，感觉很深邃。</DOC705>
<DOC706>	三、直6变2T，会让喜欢6缸NA的人纠结，不敢说有多少，但肯定有，至少我是一个。</DOC706>
<DOC707>	现在我开着的2.0MT毕加索，已经9年了，综合油耗为8.3L/100KM，相当省油。</DOC707>
<DOC708>	捷达别辜负大家的信任，降到9万总可以吧。</DOC708>
<DOC709>	锐志2.5的,看起来挺不错的,21万多点,不过配置标准上就和其它车子没的比了.</DOC709>
<DOC710>	超值版很值，除内饰不一样其它和新中华一样。</DOC710>
<DOC711>	其实除了耗油高和没有操控乐趣外，自动挡也是挺好的，起码能让刚拿驾照的女朋友轻松上手。</DOC711>
<DOC712>	墨和期也没敢用的太很，自己的嘛！</DOC712>
<DOC713>	MINI空间比同级别车型要大这是真的，发动机，这个谁也说不好，同样批次的车就算是合资车也不能保证噪音油耗都一样。</DOC713>
<DOC714>	我和几位朋友，都在使用捷达车。</DOC714>
<DOC715>	我不太敢相信他们了........</DOC715>
<DOC716>	配置还说的过去(指豪华型的)。</DOC716>
<DOC717>	你的副驾那边低一些！</DOC717>
<DOC718>	在这里，首先考验的应该是一部车的外形设计尺寸，比如接近角、离去角以及最小离地间隙等。</DOC718>
<DOC719>	消费者还是觉得降得不到位，仍然持币待购。</DOC719>
<DOC720>	台湾的质量本就不如日本国内，我们连台湾都不如，日本人只是把落后的东西扔给我们！</DOC720>
<DOC721>	用90号是不行的，用95号或97号多余。</DOC721>
<DOC722>	无论是配置还是做工，以及性能都算过得去，只是价格没什么大的优惠，在心里有一点不爽。</DOC722>
<DOC723>	平时看就觉得前脸和B600很相近，今天终于有机会一试。</DOC723>
<DOC724>	使用一段时间后，屁股坐的痛起来了。</DOC724>
<DOC725>	下面根据自己实际使用感受，对比一下国产320和进口320的区别，不对之处大家别拍砖。</DOC725>
<DOC726>	想想反正是第一部过渡的轿车，何必要这样贵呢？</DOC726>
<DOC727>	开了510公里了，感觉真的不错。</DOC727>
<DOC728>	中国13亿，怎就冒出了这样一批红旗人来了呢？</DOC728>
<DOC729>	例如选择实用的会觉得加长好...</DOC729>
<DOC730>	难看，所有的车型都是模仿，没有一点创意。</DOC730>
<DOC731>	开到现在，已经17000了，有出过问题。</DOC731>
<DOC732>	幸亏我感觉不好，将车停在了路边，及时发现。</DOC732>
<DOC733>	4：高速用DS跑和D差不多。</DOC733>
<DOC734>	跑了好几次4s，开始是看看车，试乘试驾。</DOC734>
<DOC735>	你买或用了中华了吗？</DOC735>
<DOC736>	随便买一辆千里马或者塞欧都比这破车强。。</DOC736>
<DOC737>	为啥广本卖得好，是它的做工细致，零件耐用。</DOC737>
<DOC738>	我是新手，没开过什么车，3月12日提车，现开600公理，主要是在小城的市区开，写写感受。</DOC738>
<DOC739>	我觉得，一个车型好不好，市场最能说明问题。</DOC739>
<DOC740>	全面发起进攻日系车的价格战!!!</DOC740>
<DOC741>	难道中国真的钱多人sha吗？！</DOC741>
<DOC742>	中华还要加油呀,目前中华和国外的丰田加美,本田2.0售价差不多,但差具还有一大段呀!</DOC742>
<DOC743>	起步撑握不好时整车抖动，老司机就不会抖了。</DOC743>
<DOC744>	一直关注皇冠13，但现在车型出来以后感觉屁股做的太复杂，整个车的轮廓甚至不如12代，很让我失望。</DOC744>
<DOC745>	我再也没有等待这款车的耐心了。</DOC745>
<DOC746>	买了一年多，什么问题，包括小毛病都没有过。</DOC746>
<DOC747>	平时也就8个,估计是坐的人太多.</DOC747>
<DOC748>	看着价格的进一步降，我想吉利也该关门了。</DOC748>
<DOC749>	通用这车肯定是受制约行列里的。</DOC749>
<DOC750>	我眼看着4S到了一大板高尔夫，估计有7台吧！</DOC750>
<DOC751>	十一、从售后的维护费用看，由于夏利维修和配件便宜所以费用要低，TT的配件和维修费用要高。</DOC751>
<DOC752>	有兴趣一起去买吧，听说还能往下砍。</DOC752>
<DOC753>	结果出人意料，在高档车型中，多数是日本车拿了第一名，其中，单是丰田汽车就夺走了4项第一。</DOC753>
<DOC754>	其实这辆车的外形倒是比较符合年轻人的心里，但是价格是在中国暴利车市上的取胜法宝。</DOC754>
<DOC755>	尤其是仪表盘，拆了无数次，仍不好。</DOC755>
<DOC756>	希望国内的机械加工能更上层楼，早日接轨国际。</DOC756>
<DOC757>	我自己喜欢C200的坐的舒服。</DOC757>
<DOC758>	我们带着半信半疑，对“卓越者”进行了试驾。</DOC758>
<DOC759>	车价贵不说，又是二十多年的老产品，从各方面都不如买最新的伊兰特车。</DOC759>
<DOC760>	可避免一般发动机故障的频繁出现。</DOC760>
<DOC761>	花冠和阳光的内饰我都仔细看过，说实话，内饰方面阳光比花冠强多了！</DOC761>
<DOC762>	特别是江铃陆风，你本来是时机优势的，可你磨磨蹭蹭至今未见公婆，这下全完了，不信等着瞧！</DOC762>
<DOC763>	于是一咬牙一闭眼，再加8K上风尚。</DOC763>
<DOC764>	在路况差时，轮子咕噜咕噜作声。</DOC764>
<DOC765>	为此，郑重建议：1、后车门应本着简单、实用的原则重新设计，倾斜度不要太大（不好看）。</DOC765>
<DOC766>	中华好不容易做出正确的选择，抢占市场分额。</DOC766>
<DOC767>	如果您也摇到号了，并且打算随时能入手新宝来，请加群6987049新宝来-北京团购群！</DOC767>
<DOC768>	因未开过，不敢妄言其性能优劣。</DOC768>
<DOC769>	如果踩油门则怠速迅速降低，出现加不上油、不走车的问题.油门放开后1、2挡又可自怠速行使。</DOC769>
<DOC770>	我们公司作为金杯车的老客户，对金杯车是比较相信的，同样金杯对我们公司的服务也是尽善尽美。</DOC770>
<DOC771>	性能、价格都远不如A6！</DOC771>
<DOC772>	五是车轮尺寸加大，离地最小间隙高于普桑了，很适合国内道路状况。</DOC772>
<DOC773>	我的是十二的座的,百公里12升.</DOC773>
<DOC774>	为什么非得让那些持币代够的人选择别的车呢。</DOC774>
<DOC775>	我们还有一哥们儿开雅格，燥音小，制冷效果好，比宝来的空调是要强出不少的。</DOC775>
<DOC776>	这是我在按照原来的购车合同交完款后跟我说的。</DOC776>
<DOC777>	相会后，被动方则会自动恢复远光灯，彻底解决了光污染，避免了对双方驾驶员的强光干扰。</DOC777>
<DOC778>	至于价格战出现的时机，钟师和北京亚运村汽车交易市场总经理苏辉都预计会在今年下半年。</DOC778>
<DOC779>	一个入门级的宝马卖的这么贵！！！</DOC779>
<DOC780>	想购此车的朋友打好天天修的准备</DOC780>
<DOC781>	由于根据原车型的3D数据开发设计，因此纯正汽车用品具有吻合度高、品质可靠等特点。</DOC781>
<DOC782>	用油方面根据车辆电脑显示目前平均6.5，就算是有误差我也认了，在没出磨合期已经可以了。</DOC782>
<DOC783>	造工瑕疵《汽车中国》：仔细观察钣金工艺，发现还不是很完美，与口碑不错的日本车有着一定的距离。</DOC783>
<DOC784>	时尚不乏大气，沉稳蕴含简洁，匀称透着灵气。</DOC784>
<DOC785>	是发动机没接轨还是变速箱没接轨?</DOC785>
<DOC786>	请一汽老总们要好好反思，向奇瑞好好学习逐渐向自主品牌发展，不要让人民大众和国家失望。</DOC786>
<DOC787>	优点就是：空间较大，配置基本完备。</DOC787>
<DOC788>	我建议你买瑞风,感觉绝对不一样;</DOC788>
<DOC789>	日前，大众公司发布了2005款捷达的照片。</DOC789>
<DOC790>	帕萨特１．８Ｔ手自一体，成都市内行驶，油耗为４２０－４３０km/51-52升97号汽油。</DOC790>
<DOC791>	在港澳地区丰田的车口碑最好，卖得也最好。</DOC791>
<DOC792>	他却如此及时地掺沙子，其心可诛。</DOC792>
<DOC793>	8月18日,东风悦达起亚的"赛拉图"就要上市了,它的空间比凯越,伊兰特都要大,做工，外观比它们漂亮．</DOC793>
<DOC794>	看到场地内停有一辆运输小汽车的笼箱式卡车。</DOC794>
<DOC795>	1、发动机：新宝来发动机不如朗逸性能好（据说新宝来1.6L明年要换成朗逸、波罗的发动机）。</DOC795>
<DOC796>	沈阳新闻出事故，面包车平安无事，中华司机重伤生死未卜，副驾驶上MM脑浆迸裂，知道吗？</DOC796>
<DOC797>	可能也是造成被追尾的原因之一吧；</DOC797>
<DOC798>	省油,每箱油市区平均多跑50公里;</DOC798>
<DOC799>	许多汽车服务站的态度都差，这是普遍现象。</DOC799>
<DOC800>	纠结的时候总算过去了，鼓足勇气在黄埔出手一台四驱柯兰多，也算给自己开开洋荤，买个进口的。</DOC800>
<DOC801>	想找麻烦的朋友你就选华泰，准没错！</DOC801>
<DOC802>	使车辆功能自动实现了声光组合预警。</DOC802>
<DOC803>	有时在仪表台上猛击一掌能收奇效。</DOC803>
<DOC804>	五米长，一米九宽，一米九高，哇！</DOC804>
<DOC805>	比起公司开了10万公里的A6，我更喜欢我的1。</DOC805>
<DOC806>	至少街上我还没看到2.0的一般都是2.4。</DOC806>
<DOC807>	总之，不是排量小就一定省油，排量大就费油。</DOC807>
<DOC808>	而且国内生产的花冠与在欧美销售的花冠在质量上相差N倍，根本没法相比。</DOC808>
<DOC809>	悬挂和四驱系统落后已是淘汰的机械系统配置。</DOC809>
<DOC810>	有的指导原因的车友告知一下喽。</DOC810>
<DOC811>	在日常保养大概需要多少RMB？</DOC811>
<DOC812>	中华若再不大改，即将倒闭破产。</DOC812>
<DOC813>	四、TT的车身铁皮厚，不易裂，但也重点；</DOC813>
<DOC814>	像我这种30来的人了，家用车注重的舒适的感觉，不能和20来岁的小年轻那样追求运动。</DOC814>
<DOC815>	有以下遗憾：速度过60后风噪大；</DOC815>
<DOC816>	久经考验的发动机和变速系统幸福使者配备老夏利的三缸1．0升电喷发动机和四前速变速系统。</DOC816>
<DOC817>	通过控制其开度就能控制可燃混合气的流量，进而改变发动机的转速和功率，我们叫它拉线油门。</DOC817>
<DOC818>	去4S检查轮胎动平衡没问题，全车机脚垫和支架垫都没问题，传动轴和半轴也测试过没问题。</DOC818>
<DOC819>	如有知情者，请解释。</DOC819>
<DOC820>	由于这两个因素造成了无法在加速方面跟BMW330i对抗。</DOC820>
<DOC821>	想先在家周围，利用晚上和周末的时间练一练。</DOC821>
<DOC822>	马直达没有多少商业道德，我支持海南汽车！</DOC822>
<DOC823>	三、全时四驱的优势只有在极端的情况下才能体现，而1.8T的ESP系统可以弥补前驱的不足。</DOC823>
<DOC824>	缺点是有点小，仅比奥拓大点，但轴距和吉利是一样的</DOC824>
<DOC825>	可一个1.6的GOLF在后面直笛我,我火往上撞,难道你还能跑过我,我放过他后就在后面追.</DOC825>
<DOC826>	作为1.8排量的发动机百公里综合耗油才7升左右，而且动力完全可以满足需要，这很令我满意；</DOC826>
<DOC827>	注意，是新宝来，不是宝来，也不是宝来经典。</DOC827>
<DOC828>	他们的“运动型宝来”到底把谁作为竞争对手？</DOC828>
<DOC829>	钥匙是遥控的一体化钥匙，并能遥控后备箱。</DOC829>
<DOC830>	另：本人的车提车时在ssss装了倒车雷达</DOC830>
<DOC831>	改成她和宝来之间的那一款运动造型，比速腾还好看，生产线改动也不大。</DOC831>
<DOC832>	其实如果不在乎天窗的话，舒适型就足够了。</DOC832>
<DOC833>	要知道日本人从来都不会对中国人发慈悲的。</DOC833>
<DOC834>	新车起步不敢踩油门感觉比较肉。</DOC834>
<DOC835>	Polo独特的尾灯造型在最新款车身上已被混淆，从图中我们可以发现它的设计与最新的5代高尔夫及为相似。</DOC835>
<DOC836>	那个VCD机象是随便塞进去的，很不协调;</DOC836>
<DOC837>	捷达车是好车，适合国人使用。</DOC837>
<DOC838>	虽然安全带比不上气囊，但是如果打不开……</DOC838>
<DOC839>	我一直对宝马3和奥迪A4比较钟情。</DOC839>
<DOC840>	今天试驾了几个a6l2.8fsi技术的车。</DOC840>
<DOC841>	瑞风与奔驰有一个共同点，就是巨耗油；</DOC841>
<DOC842>	油耗不是很高带空调8.8个点左右!</DOC842>
<DOC843>	捷达在价格上和伊车一样，从什么方面都无法和伊车在同一档次上。</DOC843>
<DOC844>	说实在的，一汽大众的做工实在是让人失望。</DOC844>
<DOC845>	现在宝来车就卖这个价，你能怎么着？</DOC845>
<DOC846>	天籁3.5L北美售价2.96万美元约合人民币24.4496万元国内售价34.98万元。</DOC846>
<DOC847>	内饰中规中矩，USB接口方便，音质饱满。</DOC847>
<DOC848>	乘坐的舒适性是同级别的车里最差的！</DOC848>
<DOC849>	油耗5.6-5.8，我的车跑的路况都较好。</DOC849>
<DOC850>	我觉得这次小意外也让我清醒了很多，以前总觉得自己开车当心就行了，跑快一点也没事。</DOC850>
<DOC851>	比家里的2.8的a6l好开多了，起步比他快，100以上加速他要强，显得很轻松。</DOC851>
<DOC852>	要是城市用还是买同价位的伊兰特或东方之子、都比捷达性价比高的多。</DOC852>
<DOC853>	没有出太大毛病，换过一次轮胎，一个升降玻璃电机，前后刹车片，前轴承，挂挡总成一套。</DOC853>
<DOC854>	现在最快跑到75KM/H，动机声音还算轻欢。</DOC854>
<DOC855>	小毛病有一些，就像前面一些朋友说到的，六蝶CD很容易坏，目前我已经换了3个，毛病是卡蝶；</DOC855>
<DOC856>	康达啊康达，你情何以勘啊！！！</DOC856>
<DOC857>	三、是最重要的，品牌的历史意义。</DOC857>
<DOC858>	最大功率出现在3000转左右。</DOC858>
<DOC859>	最近非常关注速腾1.8t，A4，325I。</DOC859>
<DOC860>	借陆风论坛一块宝地灌水，望各位DX海涵！</DOC860>
<DOC861>	你才有几个钱，在这里胡说八道？</DOC861>
<DOC862>	难道奥运在北京，就用北京现代？</DOC862>
<DOC863>	近几天，有车友再提帝豪EX7可能上市的消息，这也让我再次点燃对吉利SUV的美好期望。</DOC863>
<DOC864>	一汽大众员工闭上眼睛都能生产。</DOC864>
<DOC865>	振兴中华不是喊喊口号，做点实实在在的事吧！</DOC865>
<DOC866>	以前我已发现，这车超过150公里时，机油会从盖缝喷出，所以以后一直不超过130。</DOC866>
<DOC867>	尾部及刹车灯看上去则类似于迈腾的设计风格。</DOC867>
<DOC868>	正在我打好方向，拉了手刹之后，车子横在2个方向的道中间，BMW那警告音出现了。。。</DOC868>
<DOC869>	在高速公路上以120km/hr行驶,帕萨特１．８Ｔ手自一体最稳定,而君威3.0的行驶感觉与富康竟然有点类似!</DOC869>
<DOC870>	严格地讲，平台与底盘是两个概念。</DOC870>
<DOC871>	再检查电气设备，灯光/空调/雨括/喇叭等。</DOC871>
<DOC872>	我建议没有驾驶过中华的人不要在网上乱哄哄。</DOC872>
<DOC873>	其他问题暂时没发现。</DOC873>
<DOC874>	中国不妨借鉴一下法国雷诺集团的模式，特别是拥有红旗这个先辈留下来并真正的是民族品牌的企业！</DOC874>
<DOC875>	2后排减震很硬，感觉比我的炫丽好不了多少.</DOC875>
<DOC876>	如果没有更好的设计造型、还不如把它去掉。</DOC876>
<DOC877>	但是以上只是说的车子的购置价，如果考虑到实用性对比，肯定是幸福使者更高了。</DOC877>
<DOC878>	你们亲眼目睹美人豹的风采了吗？</DOC878>
<DOC879>	经常一脚刹车下去，后座的包就向前冲掉落了，乘客也不舒服，但随之又有刹不住的感觉！</DOC879>
<DOC880>	原来不是我的车有毛病，这款车油耗就是这么高！</DOC880>
<DOC881>	蒙人说是花了三亿元改造出来的!</DOC881>
<DOC882>	其他感受操控方面，虽然方向盘重一些，但由于车身短巧、视线良好，驾驶起来还是非常方便。</DOC882>
<DOC883>	我们姑且可以认为是为上海大众让出市场份额，同时也为一汽大众的市场运营手法产生疑问。</DOC883>
<DOC884>	一般来讲，真正起到作用的是安全带。</DOC884>
<DOC885>	咳!消费本是件快乐的事,现在想起来我是拿钱给自己买气受呀,面对奥迪,我现在是无语了!</DOC885>
<DOC886>	销售MM说试驾的人比较多,让我多等了会.</DOC886>
<DOC887>	拉高速行动正式开始！</DOC887>
<DOC888>	质量有没有新的提高，是否严实合缝。</DOC888>
<DOC889>	开上新宝来的那一刻，便感受到了它的悬架调校与朗逸完全是两种风格。</DOC889>
<DOC890>	陆风采用的仪表台与MU不同，说明江铃不是照图纸画葫芦，而是采用庆铃“竞技者”现成的仪表台。</DOC890>
<DOC891>	偶尔往外跑（最远南宁——广州），高速保持120-130时速，极速到过150公里/小时。</DOC891>
<DOC892>	像真皮坐椅、自动空调有什么大用吗！</DOC892>
<DOC893>	配目前的承载，还是绰绰有余的。</DOC893>
<DOC894>	速腾1.4t手动的价格将近15万，与宝来的最高配的车价差不多。</DOC894>
<DOC895>	这车现在跑了有一万五千公里，油耗9.3升。</DOC895>
<DOC896>	你说中国现状最适用的车是捷达!</DOC896>
<DOC897>	外观霸气时尚，配置水平很有水准！</DOC897>
<DOC898>	如果错过这次估计您还得等几个月！</DOC898>
<DOC899>	动力偏小，外形没有什么新意，与东风风行的外观区别不大。</DOC899>
<DOC900>	瑞风的销售增加没有，苦乐他自知。</DOC900>
<DOC901>	通用降价，引来市场叫好声一片。</DOC901>
<DOC902>	同样配置和桑塔娜3000的价格相近，用车的费用也比普桑、3000高！</DOC902>
<DOC903>	我是已经做了小白鼠了、希望北汽要争气，多做点实在的，多建4S、宣传要跟上、售后服务要跟上。</DOC903>
<DOC904>	最多的好像是玻璃升降器，几辆车都出现过类似的毛病，而且其中的一辆，修了四次才解决问题。</DOC904>
<DOC905>	油耗是大大的，---尤其是AT车。</DOC905>
<DOC906>	响声非常大，热车没有，减速带较低也没有。</DOC906>
<DOC907>	最高时速是不快，140，但要达到这个时速，真是轻而易举的事，由于是自己的车，没敢再往上跑。</DOC907>
<DOC908>	今天早晨热完车倒出车库的时候，低速，打方向就听见呜呜的声音，蛮大的，驾驶室听的很清楚。</DOC908>
<DOC909>	首先声明：本人并非一汽大众车托！</DOC909>
<DOC910>	通用的中别克原型车是通用大宇的新款Nubira，在通用生产以后改变了前脸，内饰基本跟新款Nubira一样。</DOC910>
<DOC911>	再见，明天又要开着穷人乐上班了。</DOC911>
<DOC912>	据悉，它将于明年在华晨新建成的发动机工厂投入生产，为同时推出的M2系列车型配套。</DOC912>
<DOC913>	谁想接下来的一幕简直太无耻了！</DOC913>
<DOC914>	因为能开上他们的人毕竟太少了！！！</DOC914>
<DOC915>	中华、东方之子一点不次于索纳塔，意义却完全不一样。</DOC915>
<DOC916>	如果追求强劲动力的TX推荐选择2.0的！</DOC916>
<DOC917>	这种破车也好意思称载入历史？！</DOC917>
<DOC918>	少了现在大家比较看重的安全气囊。</DOC918>
<DOC919>	我开了二万公里，感觉性能不错。</DOC919>
<DOC920>	同样是大众，比普桑还贵一万多！</DOC920>
<DOC921>	书山有路勤为径，学海无涯苦作舟。</DOC921>
<DOC922>	本人打算买部经济型汽车，反复比较后感到美日的性价比是最高的。</DOC922>
<DOC923>	受不了那种出钱还要陪笑脸的气!</DOC923>
<DOC924>	影碟机和三个液晶显示器丰富了车内的娱乐。</DOC924>
<DOC925>	这里面有什么问题，客户是不知道的。</DOC925>
<DOC926>	据此我决定买PASSAT2.8V6.买车主要是用的爽，费用低，给别人看只是面子。</DOC926>
<DOC927>	质量上讲，同等价位的瑞风比风行要好一些。</DOC927>
<DOC928>	买谁还真让人难决定。</DOC928>
<DOC929>	目前,价格与宝来和307差不多(自动挡),甚至稍低,绝对物有所值!</DOC929>
<DOC930>	提速一般，刹车不错，走弯道确实比较听话。</DOC930>
<DOC931>	找到一个修理厂，说是油封老化，然后拆下修理。</DOC931>
<DOC932>	你实在对不起我们这些支持你的朋友们!!!</DOC932>
<DOC933>	没有行车电脑，这全靠加油、记公里数算啊。</DOC933>
<DOC934>	只是在正常情况下，没人会只用经济速度行驶。</DOC934>
<DOC935>	如果追求越野，激烈的加速推背感。</DOC935>
<DOC936>	=======================================捷达与威乐比差远了，不值！</DOC936>
<DOC937>	质量是产品的生命线，口碑是靠质量积累起来的。</DOC937>
<DOC938>	接下来我就说说我的感受吧，给大家参考一下。</DOC938>
<DOC939>	中控台的质感太差了，完全没有豪华感，和原来几万元的海狮没多大区别。</DOC939>
<DOC940>	只好割爱了；最后还是把目标锁定在宝来1.4T上了，也是看中了大众这块牌子，比较信任。</DOC940>
<DOC941>	最后当然是价格喽，5。98万还算合理，不过从发动机的排量来说5。2万元才算物有所值。</DOC941>
<DOC942>	遇到转弯，速度放慢，再来一次！</DOC942>
<DOC943>	有人说基本型41000是真的假的。</DOC943>
<DOC944>	悬挂调教属于偏硬的，过弯略有侧倾，不严重。</DOC944>
<DOC945>	如果发动机是一样的这个价格高了！</DOC945>
<DOC946>	中档车里，捷达仍然是最好的，不怕不识货，就怕货比货，各种车开开就知道了。</DOC946>
<DOC947>	老款有105KW的功率，200NM扭矩。</DOC947>
<DOC948>	这个问题我回答你：南汽没有将菲亚特王牌的1.3发动机及变速箱生产线引进来，是致命的失误。</DOC948>
<DOC949>	我也是十月份买的名仕商务版，油耗一直是10升左右，这车如果不开太快还行，120以上噪音大。</DOC949>
<DOC950>	但是感觉国产的噪音要大于进口车，如果有条件的朋友可以实际测量一下噪声。</DOC950>
<DOC951>	但是塞弗的价格性能比还是陆风所不能比拟的，这也是塞弗的一大卖点。</DOC951>
<DOC952>	所以我决定小毛小病的绝不送4S店!</DOC952>
<DOC953>	试驾老友新宝来老友出差，借车开开。</DOC953>
<DOC954>	信不信由你,捷达车的经销商都有国企的影子!</DOC954>
<DOC955>	网上照片也好象没有看到过这种装饰。</DOC955>
<DOC956>	空调不太给力，应该是空间比较大的原因，说到空间真是没得说，太阔了，比V5大了好多（买车时去体验了一下V5）。</DOC956>
<DOC957>	耗油两个车子很接近，夏利车体更轻，应该少一点。</DOC957>
<DOC958>	拿现在的标准搞搞碰撞试验,看能获几颗星?</DOC958>
<DOC959>	通过差异化增值服务，建立顾客的忠诚，最大可能获得顾客终身的价值，保证了价值链的纵向延伸。</DOC959>
<DOC960>	难道你不当家就不知道柴米贵吗？</DOC960>
<DOC961>	眼见爱车，狠狠亲吻了一下，开始上车上路了。</DOC961>
